c10001 - Nguyễn Anh Quốc - 089996337020 - Nữ - 21/01/1974 - quocanh.nguyen@gmail.com - 361 Phạm Ngũ Lão, Quận 1, TP.HCM - f10000 - Chủ tịch HĐQT - 29000000
c10002 - Ngô Đình Phong - 451996489021 - Nữ - 01/02/1980 - phongdinh.ngo@gmail.com - 135 Nguyễn Thị Minh Khai, Quận 1, TP.HCM - f10000 - Phó Chủ Tịch - 26000000
c10003 - Nguyễn Anh Phú - 451996562021 - Nữ - 28/02/1988 - phuanh.nguyen@gmail.com - 12 Nguyễn Văn Cừ, Quận 1, TP.HCM - f10000 - Ủy viên BQT - 24000000
c10004 - Trần Thị An - 341996337020 - Nữ - 01/01/2000 - anthi.tran@gmail.com - 26-28 Phan Bội Châu, Quận 1, TP.HCM - f10001 - Tổng Giám Đốc - 19000000
c10005 - Nguyễn Văn Bằng - 341996337021 - Nữ - 01/02/2001 - bangvan.nguyen@gmail.com - 135 Nam Kỳ Khởi Nghĩa, Quận 1, TP.HCM - f10001 - Phó Tổng Giám Đốc - 16000000
c10006 - Lê Cường - 341996337022 - Nữ - 01/03/2002 - cuong.le@gmail.com - 1 Công Xã Paris, Quận 1, TP.HCM - f10001 - Giám Đốc Điều Hành - 14000000
c10007 - Nguyễn Trường - 341996337023 - Nữ - 01/04/2001 - truong.nguyen@gmail.com - 55C Cao Thắng, Quận 3, TP.HCM - f10001 - Giám Đốc Marketing - 14000000
c10008 - Nguyễn Trường Khánh - 341996337024 - Nữ - 01/05/2002 - khanhtruong.nguyen@gmail.com - 2 Nguyễn Bỉnh Khiêm, Quận 1, TP.HCM - f10001 - Giám Đốc Marketing - 14000000
c10009 - Phạm Thế An - 341996337025 - Nữ - 01/06/2001 - anthe.pham@gmail.com - Nguyễn Huệ, Quận 1, TP.HCM - f10002 - Nhân Viên hỗ trợ khách hàng - 8000000
c10010 - Nguyễn Vinh - 341996337026 - Nữ - 01/07/2002 - vinh.nguyen@gmail.com - 48A Đặng Văn Ngữ, Quận 1, TP.HCM - f10002 - Quản lý chăm sóc khách hàng - 10000000
c10011 - Nguyễn Văn Quân - 341996337027 - Nữ - 01/08/2001 - quanvan.nguyen@gmail.com - 9B/18A Phạm Ngọc Thạch, Quận 3, TP.HCM - f10002 - Nhân viên phụ trách phản hồi và khảo sát khách hàng - 9000000
c10012 - Võ Quốc Tuấn - 341996337028 - Nữ - 01/09/2002 - tuanquoc.vo@gmail.com - 65 Lê Lợi, Quận 1, TP.HCM - f10002 - Nhân viên kỹ thuật hỗ trợ khách hàng - 8000000
c10013 - Phạm Lê Nhã - 341996337029 - Nữ - 01/10/2001 - nhale.pham@gmail.com - 72 Lê Thánh Tôn, Quận 1, TP.HCM - f10002 - Nhân viên hậu mãi - 8000000
c10014 - Lê Thị Mỹ - 341996337030 - Nữ - 01/11/2002 - mythi.le@gmail.com - 120 Hà Nội, Quận 9, TP.HCM - f10003 - Kế toán trưởng - 11000000
c10015 - Nguyễn Thị Trúc Quỳnh - 341996337031 - Nữ - 01/12/2001 - quynhtructhi.nguyen@gmail.com - 2 Hải Triều, Quận 1, TP.HCM - f10003 - Kế toán tổng hợp - 10000000
c10016 - Trần Hoài Phúc - 341996337032 - Nữ - 02/01/2001 - phuchoai.tran@gmail.com - 469-471 Nguyễn Hữu Cảnh, Quận Bình Thạnh, TP.HCM - f10003 - Kế toán viên - 8000000
c10017 - Bùi Trọng Nghĩa - 341996337033 - Nữ - 02/02/2002 - nghiatrong.bui@gmail.com - Phú Mỹ Hưng, Quận 7, TP.HCM - f10003 - Kế toán nội bộ - 9000000
c10018 - Võ Nguyên Trạng - 341996337034 - Nữ - 02/03/2001 - trangnguyen.vo@gmail.com - 30 Bờ Bao Tân Thắng, Quận Tân Phú, TP.HCM - f10003 - Kế Toán Thuế - 9000000
c10019 - Võ Thị Hằng - 341996337035 - Nữ - 02/04/2002 - hangthi.vo@gmail.com - 3 Hòa Bình, Quận 11, TP.HCM - f10003 - Thủ quỹ - 9000000
c10020 - Nguyễn Sỹ Khiêm - 341996337036 - Nữ - 02/05/2001 - sykhiem.nguyen@gmail.com - 339 Nam Kỳ Khởi Nghĩa, Quận 3, TP.HCM - f10004 - Trưởng phòng kinh doanh - 11000000
c10020 - Nguyễn Bính Toàn - 341996337037 - Nữ - 02/06/2002 - toanbinh.nguyen@gmail.com - 73 Mai Thị Lựu, Quận 1, TP.HCM - f10004 - Nhân viên kinh doanh - 8000000
